Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-08-26 00:00:00-04:00,4.953542864694136,5.095458853967774,4.940027071536739,4.960300922393799,13228100,0.0,0.0
2010-08-27 00:00:00-04:00,5.021204605210066,5.149779962689315,4.919697710075762,5.129478454589844,13767000,0.01,0.0
2010-08-30 00:00:00-04:00,5.082110337721763,5.082110337721763,4.912932235763221,4.919699192047119,8290200,0.0,0.0
2010-08-31 00:00:00-04:00,4.9129318869447935,5.027972717056135,4.879096139882777,4.987370014190674,11098500,0.0,0.0
2010-09-01 00:00:00-04:00,5.068574513226602,5.318958286795959,5.041506049491786,5.312191009521484,12997800,0.0,0.0
2010-09-02 00:00:00-04:00,5.298658017938056,5.37309647197376,5.2580553128317495,5.366329193115234,8315800,0.0,0.0
2010-09-03 00:00:00-04:00,5.454300893278091,5.508437820401584,5.325725207337487,5.433999061584473,7914800,0.0,0.0
2010-09-07 00:00:00-04:00,5.332493033440586,5.366328455034669,5.149780724251505,5.224218845367432,12040900,0.0,0.0
2010-09-08 00:00:00-04:00,5.23098605358912,5.494903758305025,5.224218775751539,5.4001641273498535,20136600,0.0,0.0
2010-09-09 00:00:00-04:00,5.528739786857583,5.623479745373391,5.427233195518851,5.494904041290283,15243300,0.0,0.0
2010-09-10 00:00:00-04:00,5.474602193684284,5.569341495442964,5.447533729558504,5.562574863433838,9951400,0.0,0.0
2010-09-13 00:00:00-04:00,5.677616778843252,5.752054904094912,5.57610954037661,5.623479843139648,15439200,0.0,0.0
2010-09-14 00:00:00-04:00,5.616712320788829,5.6302462314450885,5.420465776049415,5.461068153381348,12255700,0.0,0.0
2010-09-15 00:00:00-04:00,5.427233478729532,5.596411570031127,5.386630452857339,5.5558085441589355,10027100,0.0,0.0
2010-09-16 00:00:00-04:00,5.481370738218867,5.535507678985596,5.447534988898851,5.535507678985596,8169300,0.0,0.0
2010-09-17 00:00:00-04:00,5.562575979853013,5.6099456402395305,5.461068734986334,5.569342613220215,9031500,0.0,0.0
2010-09-20 00:00:00-04:00,5.582876183751146,5.691150042844586,5.515204699136192,5.657314300537109,9180200,0.0,0.0
2010-09-21 00:00:00-04:00,5.670850043200136,5.745288175575004,5.508439220547747,5.521973133087158,11143700,0.0,0.0
2010-09-22 00:00:00-04:00,5.515207766902845,5.569344726562585,5.318961449477155,5.33249568939209,12612000,0.0,0.0
2010-09-23 00:00:00-04:00,5.2783553064301625,5.413697617802619,5.156546903513429,5.176848411560059,15417800,0.0,0.0
2010-09-24 00:00:00-04:00,5.298658341088101,5.413699507246144,5.230987161783852,5.3460283279418945,13200600,0.0,0.0
2010-09-27 00:00:00-04:00,5.325725879137965,5.43399974704289,5.2986574121617345,5.305424690246582,11022200,0.0,0.0
2010-09-28 00:00:00-04:00,5.325726653143772,5.373096638577406,5.258055475868313,5.352795124053955,12568200,0.0,0.0
2010-09-29 00:00:00-04:00,5.318958896297787,5.461068185849165,5.278356196042883,5.3798627853393555,11133500,0.0,0.0
2010-09-30 00:00:00-04:00,5.393395581341974,5.549039385511971,5.37309439796586,5.3866286277771,12230900,0.0,0.0
2010-10-01 00:00:00-04:00,5.515206194126108,5.582877697084567,5.461069249904654,5.488137722015381,17373200,0.0,0.0
2010-10-04 00:00:00-04:00,5.481369987410466,5.58287657610345,5.447534242725088,5.461068153381348,12287400,0.0,0.0
2010-10-05 00:00:00-04:00,5.521973177402932,5.758822779694232,5.454302323436309,5.724987030029297,18295000,0.0,0.0
